season,orchestra,programID,id
1842-43,New York Philharmonic,3853,38e072a7-8fc9-4f9a-8eac-3957905c0002
1842-43,New York Philharmonic,5178,c7b2b95c-5e0b-431c-a340-5b37fc860b34
1842-43,Musicians from the New York Philharmonic,10785,894e1a52-1ae5-4fa7-aec0-b99997555a37
1842-43,New York Philharmonic,5887,34ec2c2b-3297-4716-9831-b538310462b7
1843-44,New York Philharmonic,305,610a4acc-94e4-4cd6-bdc1-8ad020edc7e9
1843-44,New York Philharmonic,3368,47b6e9e8-3b18-49ea-ae2a-b9b0ca18902c
1843-44,New York Philharmonic,4226,5e533e4f-d4ac-4aaa-b8d2-e189f6806655
1843-44,New York Philharmonic,5087,7550f75e-5c0c-4519-9196-05a6c4e2612c
1844-45,New York Philharmonic,6310,91f716fc-090d-4c3b-85da-41122eb3fe96
1844-45,New York Philharmonic,1979,253d22e1-9d44-410c-ae06-61abe434e5ec
1844-45,New York Philharmonic,2821,6285c981-8e21-4ef1-afb2-634844dd7edb
1844-45,New York Philharmonic,3259,bd29d7be-ee14-4362-ae93-4d9c8a535804
1845-46,New York Philharmonic,4919,4b37d068-0d4b-4ba8-8885-5abefa261e91
1845-46,New York Philharmonic,562,119e0eaf-077f-49f2-b396-6f7b179fe2d8
1845-46,New York Philharmonic,1408,676bc63e-0f45-49cd-af5a-f36c31e986a1
1845-46,New York Philharmonic,1851,fb00e4fb-d935-4b13-aa85-06a4d8d89a16
1845-46,New York Philharmonic,2321,7f9997cb-c3a4-4fc5-b241-2348944ef999
1846-47,New York Philharmonic,3540,a7ac4233-c065-41e7-9a36-9a5e3f5daa7b
1846-47,New York Philharmonic,6573,f93b6dcc-2657-44f6-a69d-0d1a5f9dd396
1846-47,New York Philharmonic,47,b0704cd5-728d-4886-8445-2b0edb1abeb6
1846-47,New York Philharmonic,450,343cfe16-cb4f-4557-9ed1-9a14e0725d71
1847-48,New York Philharmonic,2178,2634f6cb-16ee-4e4b-bd16-827db923e294
1847-48,New York Philharmonic,5195,5c46b292-230b-48ba-b4bd-36488059102d
1847-48,New York Philharmonic,10581,992ef3ad-b771-4f28-9f10-d917cb614a1d
1847-48,New York Philharmonic,6064,eb21a5b0-ea39-46f5-ba6b-d9dc2d06a457
1847-48,New York Philharmonic,6493,ab75ad47-55de-4119-b0b6-2b1bca15270e
1848-49,New York Philharmonic,1171,0228e89c-95a8-468e-90d8-de5ec1e80969
1848-49,New York Philharmonic,2607,f5995882-6ab3-4476-8589-d7f528aa2835
1848-49,New York Philharmonic,3931,37c8e3b1-78f7-43ad-ac76-5a6aec6950b7
1848-49,New York Philharmonic,5300,a7c94524-c8d5-4b06-97df-bdb2d6c20fd3
1849-50,New York Philharmonic,7278,af79d260-a728-41e3-ad8c-bb6120d613b7
1849-50,New York Philharmonic,571,ea6c3d86-3c3b-466f-88f3-a1dd3e7ad516
1849-50,New York Philharmonic,1907,15aadffc-bfa6-4dbc-9120-a47effb75481
1849-50,New York Philharmonic,6269,00894e03-f660-42df-a3a9-4b8ca60df7f2
